rank,value_rating,model,price,signature,tone_grade,technical_grade,driver_type,fit_cup
S,-1,Sennheiser HE-1,59000,Harman neutral,S+,S,Electrostatic,Open Circumaural
S,1,Hifiman Susvara,6000,Neutral,S,S,Planar,Open Circumaural
S-,-1,Hifiman HE1000(V2),3000,Neutral,S,S-,Planar,Open Circumaural
S-,1,Focal Utopia,4000,Neutral,S,S-,Dynamic,Open Circumaural
A+,-1,Focal Clear,-1,Warm neutral,S-,A+,Dynamic,Open Circumaural
A+,-1,Hifiman HE1000se,3500,Bright neutral,A+,S-,Planar,Open Circumaural
A+,1,Hifiman Arya,1600,Bright neutral,A+,S-,Planar,Open Circumaural
A+,-1,Hifiman Shangri-La Jr,8000,Bright neutral,A,S,Electrostatic,Open Circumaural
A,-1,Hifiman Jade II,2500,Bass-rolled neutral,A,S-,Electrostatic,Open Circumaural
A,-1,Stax SR-007(Mk2.5),2100,Warm neutral,A-,S+,Electrostatic,Open Circumaural
A,1,HEDDphone,1900,Warm neutral,A,A+,AMT,Open Circumaural
A,2,Aurorus Borealis,900,Neutral,A+,A,Dynamic,Open Circumaural
A,1,Nectar Hive,600,Bright neutral,A,A,Electrostatic,Open Circumaural
A-,-1,Hifiman Edition X V2,1300,Neutral,S,B+,Planar,Open Circumaural
A-,-1,Stax SR-Lambda Pro,700,Neutral,B+,S-,Electrostatic,Open Circumaural
A-,2,Sennheiser HD600,400,Neutral,S-,B+,Dynamic,Open Circumaural
A-,2,Audio Technica ATH-R70x,350,Warm neutral,A+,B+,Dynamic,Open Circumaural
B+,-1,Stax SR-404Stax SR-404 Limited,500,Neutral,B,S-,Electrostatic,Open Circumaural
B+,-1,Stax SR-507,830,Neutral,B,S-,Electrostatic,Open Circumaural
B+,-1,Hifiman HE6,1300,Bright neutral,B,S-,Planar,Open Circumaural
B+,-1,Stax SR-4070,1700,Mid-centric,B,S-,Electrostatic,Closed Circumaural
B+,-1,ZMF Auteur(Teak)(pref. lambskin Auteur pads),1600,Bright neutral,A,B+,Dynamic,Open Circumaural
B+,1,Hifiman Ananda,700,Neutral,S-,B,Planar,Open Circumaural
B+,3,AKG K612 Pro,200,Neutral,S-,B,Dynamic,Open Circumaural
B+,2,Hifiman Sundara,350,Neutral,A+,B,Planar,Open Circumaural
B+,3,Sennheiser HD650/HD6XX,220,Warm neutral,A+,B,Dynamic,Open Circumaural
B+,1,Fostex TH610,600,Mild V-shape,B+,A-,Dynamic,Closed Circumaural
B+,1,E-MU Teak,400,V-shaped,B+,A-,Dynamic,Semi-open Circumaural
B+,-1,Sennheiser HD800/HD800S,1700,Bright neutral,B-,S,Dynamic,Open Circumaural
B+,-1,Beyerdynamic T70,600,Bright neutral,A,B,Dynamic,Closed Circumaural
B+,-1,MrSpeakers Ether C,-1,DF-neutral,A,B,Planar,Closed Circumaural
B+,1,Shure SRH1540,500,Neutral with bass boost,A,B,Dynamic,Closed Circumaural
B+,2,AKG K702,350,Mid-centric,A,B,Dynamic,Open Circumaural
B+,-1,Stax SR-L500,792,Neutral,B-,S-,Electrostatic,Open Circumaural
B+,3,Shure SRH840,150,V-shaped,A+,B-,Dynamic,Closed Circumaural
B,-1,Stax SR-L300,430,Neutral,B,A-,Electrostatic,Open Circumaural
B,-1,ZMF Aeolus(Pref. suede Universe pads),1200,Bright neutral,B,A-,Dynamic,Open Circumaural
B,1,AKG K701,450,Bright neutral,A-,B,Dynamic,Open Circumaural
B,-1,Hifiman HE6se,1100,Neutral,B-,A,Planar,Open Circumaural
B,-1,Hifiman HE560(V1),950,Neutral,B-,A,Planar,Open Circumaural
B,-1,Final D8000 Pro,4300,Bright,B-,A,Planar,Open Circumaural
B,-1,Final Audio D8000,4000,Bright,B-,A,Planar,Open Circumaural
B,-1,RAAL-requisite SR1a,4000,Neutral,B-,A,Ribbon,Earspeaker
B,1,Sennheiser HD560S,200,Neutral,A,B-,Dynamic,Open Circumaural
B,2,AKG K371,150,Harman,A,B-,Dynamic,Closed Circumaural
