rank,value_rating,model,price,signature,tone_grade,technical_grade,driver_type
S,2,ThieAudio Monarch Mk2,1000,Neutral with bass boost,S+,S,2EST 6BA 1DD
S,1,64 Audio A/U12t,2000,Neutral with bass boost,S,S,12BA
S,1,Elysian Annihilator (2021),3700,U-shaped,S,S,2EST 4BA 1DD
S,1,Sony IER-Z1R,1700,Mild V-shape,S,S,1BA 2DD
S-,1,qdc 8SL/Gemini/Anole VX,1410,Mild V-shape,S-,S+,8/10BA
S-,2,ThieAudio Monarch,730,Neutral with bass boost,S-,S,2EST 6BA 1DD
S-,1,64 Audio Tia Trio,2300,Neutral with bass boost,S,S-,2BA 1DD
S-,-1,Vision Ears Erlkonig,4800,Variable,S-,S,13BA
S-,2,"Hidition Viento(B-mode, custom)",950,Variable,S+,A+,4BA
S-,-1,Empire Ears Odin,3400,Mild V-shape,S-,S-,4EST 5BA 2DD
S-,1,Sony IER-M9,1000,Warm neutral,S-,S-,5BA
A+,-1,64 Audio Nio,1700,Variable,S,A+,8BA 1DD
A+,1,qdc 8SS,1450,Neutral,A+,S,8BA
A+,-1,Jomo Samba,-1,V-shaped,A+,S,8BA
A+,-1,Vision Ears VE8,2700,Warm neutral,A+,S,8BA
A+,2,Moondrop S8,700,Harman-neutral,S-,A+,8BA
A+,1,Campfire Andromeda (2020),1100,Warm neutral,A+,S-,5BA
A+,-1,Softears RS10,2100,Harman-neutral,A+,S-,10BA
A+,-1,64 Audio A/U18 Tzar,3000,Warm neutral,A+,S-,18BA
A+,-1,Elysian X,4600,V-shaped,A+,S-,4EST 4BA 1DD
A+,-1,Oriolus Traillii,6000,Neutral with bass boost,S-,A+,4EST 8BA
A+,-1,Unique Melody MEST Mk2,1500,Neutral with bass boost,A+,S-,1BC 2EST 4BA 1DD
A+,1,Unique Melody MEST,1400,Neutral with bass boost,A+,S-,1BC 2EST 4BA 1DD
A+,-1,InEar Prophile-8,1600,Neutral,S-,A+,8BA
A+,-1,Jomo Flamenco,2200,Warm neutral,A+,S-,11BA
A+,1,Kumitate KL-Sirius,815,Neutral,S-,A+,4BA
A+,2,ThieAudio Clairvoyance,700,Neutral with bass boost,S,A,2EST 5BA 1DD
A+,-1,qdc 8SH,1450,Mild V-shape,A,S,8BA
A+,3,Moondrop Blessing 2,320,DF-neutral,S,A,4BA 1DD
A+,-1,Ultimate Ears UE18+ Pro Gen 2,-1,Warm neutral,S,A,6BA
A+,2,Moondrop Variations,520,Harman-neutral,S,A,2EST 2BA 1DD
A+,-1,Empire Ears Legend X,2300,V-shaped,A+,A+,5BA 2DD
A+,1,Hidition NT6,1050,DF-neutral,A+,A+,6BA
A+,-1,Empire Ears Legend X SE,3250,V-shaped,A+,A+,5BA 2DD
A+,-1,qdc Anole V14,2740,Variable,A+,A+,4EST 10BA
A+,1,PEARS SH3,1100,Neutral,A+,A+,3BA
A+,-1,Ultimate Ears Reference Monitor (UERM),-1,Neutral,A+,A+,3BA
A+,2,Sennheiser IE600,700,U-shaped,A+,A+,DD
A,1,Campfire Andromeda (S),1100,Warm U-shape,A,S-,5BA
A,1,Empire Ears ESR Mk2,1100,Warm neutral,S-,A,2EST 3BA
A,-1,Mofasest M14,-1,Neutral with bass boost,S-,A,14BA
A,-1,Elysian Hades V2,1550,Variable,A,A+,6BA
A,-1,Elysian Terminator V2,2500,V-shaped,A,A+,8BA
A,-1,"Tansio Mirai TSMR-12 ""Zodiac""",1330,Neutral,A+,A,12BA
A,1,Softears RSV,730,Neutral with bass boost,S,A-,5BA
A,2,ThieAudio Oracle,540,Neutral with bass boost,S,A-,2EST 2BA 1DD
A,-1,Hidition NT8,1850,Neutral,A,A+,8BA
A,1,Hidition Waltz,900,Harman-neutral,A+,A,3BA
A,2,Fearless S8Z,590,Warm neutral,A+,A,8BA
A,-1,Hidition Violet,3300,Neutral with bass boost,A,A+,11BA
A,2,Kiwi Ears Orchestra,500,Mild V-shape,A+,A,8BA
A,-1,Kumitate KL-Focus,1600,U-shaped,A+,A,5BA
A,1,qdc 4SS,700,Neutral,A+,A,4BA
A,-1,StereoPravada SB7,2500,Bright DF-neutral,A-,S,7BA
A,-1,Vision Ears Elysium,3200,Mild V-shape,A-,S-,2EST 1BA 1DD
A,2,DUNU SA6,550,Neutral with bass boost,S-,A-,6BA
A,2,Sony IER-M7,500,Warm neutral,S-,A-,4BA
A,1,Moondrop A8,667,Harman-neutral,A,A,8BA
A,-1,FiR M3,1200,Warm neutral,A,A,2BA 1DD
A,-1,FiR M4,1900,Warm neutral,A,A,3BA 1DD
A,-1,Moondrop Solis,1100,Warm DF-neutral,A,A,4BA 2EST
A,1,ThieAudio Voyager 14 (V14),1000,Neutral,A,A,14BA
A,-1,FitEar MH334SR,2000,Warm neutral,A,A,4BA
A,1,Symphonium Helios,1100,Neutral with bass boost,A,A,4BA
A,-1,Vision Ears VE7,1300,Warm neutral,A,A,7BA
A,-1,Lime Ears Aether,1350,Neutral with bass boost,A,A,5BA
A,1,Lime Ears Model X,1000,Variable,A,A,4BA
A,-1,Noble K10 Encore,1850,Neutral,A,A,10BA
A,1,Massdrop x Noble K10,700,Neutral with bass boost,A,A,10BA
A,-1,Noble Katana,1850,Neutral with laid-back treble,A,A,9BA
A,1,Ultimate Ears Reference Remastered (UERR),1000,Neutral with laid-back treble,A,A,3BA
A,3,7Hz Timeless,220,Neutral with bass boost,A,A,Planar
A,2,Fearless S8F/S8Pro,490,V-shaped,A,A,8BA
A,-1,Westone ES60,1300,Neutral with laid-back treble,A,A,6BA
A-,-1,Softears Turii,1400,Mild V-shape,A-,A+,DD
A-,-1,JVC HA-FW10000,2200,DF-neutral,B+,S-,DD
A-,-1,Elysian Poseidon,1940,Neutral with bass boost,A,A-,6BA 1DD
A-,-1,FiR M5,2800,Warm,A,A-,1EST 3BA 1DD
A-,2,Drop + JVC HA-FDX1,280,Neutral,A,A-,DD
A-,1,Etymotic ER4XR,350,DF-neutral,A,A-,BA
A-,-1,Hidition NT6 Pro,1100,Neutral with bass boost,A-,A,6BA
A-,1,ThieAudio Excalibur,530,V-shaped,A-,A,2EST 2BA 1DD
A-,-1,Unique Melody Mason V3+,3200,Bright neutral,A-,A,16BA
A-,-1,InEar SD5,1100,Warm V-shape,A,A-,5BA
A-,1,Moondrop Blessing,400,Harman-neutral,A,A-,4BA 1DD
A-,1,NocturnaL Atlantis,600,Neutral,A,A-,4BA
A-,-1,"Sony Justear XJE-MH2 ""Club""",2150,Warm DF-neutral,A,A-,1BA 1DD
A-,1,HYLA CE-5,915,U-shaped,B+,A+,1Piezo 2BA 1DD
A-,-1,HYLA TE-5B,1300,U-shaped,B+,A+,1Piezo 2BA 1DD
A-,-1,HYLA Sarda,1250,U-shaped,B+,A+,1Piezo 2BA 1DD
A-,-1,Shure KSE1200,2000,Bright U-shape,B,S+,Electrostatic
A-,-1,Dita Dream,1800,V-shaped,B,S,DD
A-,1,Acoustune HS1650,650,V-shaped,A-,A-,DD
A-,-1,Acoustune HS1695Ti,-1,U-shaped,A-,A-,DD
A-,-1,Etymotic ER4B,-1,DF-neutral,A-,A-,BA
A-,-1,qdc Dmagic,1900,Neutral,A-,A-,3DD
A-,-1,See Audio Neo,1100,Neutral with bass boost,A-,A-,10BA
